n,A,B,X,Aox,Box,Cox,Ra,Rb,Rc,exp,EAH
0.0,Ba,Bi,O,0,0,0,2.15,1.6,0.6,False,0.0
0.0,Ba,Ce,O,2,4,-2,1.49,1.01,1.26,False,0.0
0.0,Ba,Fe,O,2,4,-2,1.49,1.4,1.26,False,0.0
0.0,Ba,Ir,O,2,4,-2,1.49,0.765,1.26,False,0.0
1.0,Ba,Ir,O,2,4,-2,1.49,0.765,1.26,False,0.01947380196429993
0.0,Ba,Li,F,2,1,-1,1.49,0.9,1.19,False,0.0
0.0,Ba,Mo,O,2,4,-2,1.49,0.79,1.26,False,0.0
0.0,Ba,Nb,O,2,4,-2,1.49,0.82,1.26,False,0.0
0.0,Ba,Np,O,0,0,0,2.15,1.75,0.6,False,0.0
0.0,Ba,Os,O,0,0,0,2.15,1.3,0.6,False,0.0
1.0,Ba,Os,O,0,0,0,2.15,1.3,0.6,True,0.06677261846154359
0.0,Ba,Pa,O,0,0,0,2.15,1.8,0.6,False,0.0
0.0,Ba,Pb,O,2,4,-2,1.49,0.915,1.26,False,0.0
1.0,Ba,Pb,O,2,4,-2,1.49,0.915,1.26,False,0.0
0.0,Ba,Pb,O,0,0,0,2.15,1.8,0.6,False,0.0
1.0,Ba,Pb,O,2,4,-2,1.49,0.915,1.26,False,0.0
0.0,Ba,Pr,O,2,4,-2,1.49,0.99,1.26,False,0.0
0.0,Ba,Pu,O,0,0,0,2.15,1.75,0.6,False,0.0
0.0,Ba,Sn,O,2,4,-2,1.49,0.83,1.26,False,0.0
1.0,Ba,Sn,O,2,4,-2,1.49,0.83,1.26,False,0.0
0.0,Ba,Tb,O,2,4,-2,1.49,0.9,1.26,False,0.0
0.0,Ba,Th,O,2,4,-2,1.49,1.08,1.26,False,0.0
0.0,Ba,V,O,2,4,-2,1.49,0.72,1.26,False,0.0
0.0,Ba,Zr,O,2,4,-2,1.49,0.86,1.26,False,0.0
1.0,Ba,Zr,O,2,4,-2,1.49,0.86,1.26,False,0.0
2.0,Ba,Zr,O,2,4,-2,1.49,0.86,1.26,True,0.0
0.0,Ca,Si,O,2,4,-2,1.14,0.54,1.26,False,0.0
1.0,Ca,Si,O,2,4,-2,1.14,0.54,1.26,False,0.18881341178571454
0.0,Ca,Sn,O,0,0,0,1.8,1.45,0.6,False,0.0
0.0,Ca,Sn,O,2,4,-2,1.14,0.83,1.26,False,0.0
0.0,Ca,Ti,O,2,4,-2,1.14,0.745,1.26,False,0.0
1.0,Ca,Ti,O,2,4,-2,1.14,0.745,1.26,True,0.036095245357147476
0.0,Ca,Zr,O,2,4,-2,1.14,0.86,1.26,False,0.0
0.0,Ce,Al,O,3,3,-2,1.15,0.675,1.26,False,0.0
0.0,Ce,Cr,O,3,3,-2,1.15,1.4,1.26,False,0.0
0.0,Ce,Ga,O,0,0,0,1.85,1.3,0.6,False,0.0
0.0,Ce,Ga,O,3,3,-2,1.15,0.76,1.26,False,0.0
0.0,Ce,V,O,3,3,-2,1.15,0.78,1.26,False,0.0
0.0,Pb,Cr,O,2,4,-2,1.33,1.4,1.26,False,0.0
0.0,Cs,Au,Cl,0,0,0,2.6,1.35,1.0,False,0.0
0.0,Cs,Ca,Br,1,2,-1,1.81,1.14,1.82,False,0.0
1.0,Cs,Ca,Br,1,2,-1,1.81,1.14,1.82,True,0.0
0.0,Cs,Ca,F,1,2,-1,1.81,1.14,1.19,False,0.0
1.0,Cs,Ca,F,1,2,-1,1.81,1.14,1.19,False,0.0
0.0,Cs,Cd,Br,1,2,-1,1.81,1.09,1.82,False,0.0
0.0,Cs,Cd,Cl,1,2,-1,1.81,1.09,1.67,False,0.0
0.0,Cs,Cd,F,1,2,-1,1.81,1.09,1.19,False,0.0
0.0,Cs,Eu,Cl,1,2,-1,1.81,1.31,1.67,False,0.0
0.0,Cs,Eu,F,1,2,-1,1.81,1.31,1.19,False,0.0
0.0,Cs,Fe,F,1,2,-1,1.81,0.92,1.19,False,0.0
0.0,Cs,Ge,Br,1,2,-1,1.81,0.87,1.82,False,0.0
0.0,Cs,Hg,Br,1,2,-1,1.81,1.16,1.82,False,0.0
0.0,Cs,Hg,Cl,1,2,-1,1.81,1.16,1.67,False,0.0
0.0,Cs,Hg,F,1,2,-1,1.81,1.16,1.19,False,0.0
1.0,Cs,Hg,F,1,2,-1,1.81,1.16,1.19,False,0.0
0.0,Cs,Mg,F,1,2,-1,1.81,0.86,1.19,False,0.0
0.0,Cs,Pb,Br,1,2,-1,1.81,1.33,1.82,False,0.0
0.0,Cs,Pb,Cl,1,2,-1,1.81,1.33,1.67,False,0.0
0.0,Cs,Pb,F,1,2,-1,1.81,1.33,1.19,False,0.0
0.0,Cs,Pb,I,1,2,-1,1.81,1.33,2.06,False,0.0
0.0,Cs,Sm,Cl,1,2,-1,1.81,1.36,1.67,False,0.0
0.0,Cs,Sn,Br,1,2,-1,1.81,1.45,1.82,False,0.0
0.0,Cs,Sn,Cl,1,2,-1,1.81,1.45,1.67,False,0.0
0.0,Cs,Sn,I,1,2,-1,1.81,1.45,2.06,False,0.0
0.0,Cs,Sr,F,1,2,-1,1.81,1.32,1.19,False,0.0
0.0,Cs,Tm,Cl,1,2,-1,1.81,1.17,1.67,False,0.0
1.0,Cs,Tm,Cl,1,2,-1,1.81,1.17,1.67,False,0.15577054182540095
0.0,Eu,Nb,O,2,4,-2,1.31,0.82,1.26,False,0.0
0.0,Eu,Ti,O,2,4,-2,1.31,0.745,1.26,False,0.0
1.0,Eu,Ti,O,2,4,-2,1.31,0.745,1.26,True,0.0
2.0,Eu,Ti,O,2,4,-2,1.31,0.745,1.26,True,0.00027171291668715014
3.0,Eu,Ti,O,2,4,-2,1.31,0.745,1.26,True,0.0032556188235464134
0.0,Pb,Ge,O,2,4,-2,1.33,0.67,1.26,False,0.0
0.0,Pb,Hf,O,2,4,-2,1.33,0.85,1.26,False,0.0
0.0,K,Ca,F,1,2,-1,1.52,1.14,1.19,False,0.0
0.0,K,Cd,F,1,2,-1,1.52,1.09,1.19,False,0.0
0.0,K,Co,F,1,2,-1,1.52,0.885,1.19,False,0.0
1.0,K,Co,F,1,2,-1,1.52,0.885,1.19,False,0.08233011714285876
2.0,K,Co,F,1,2,-1,1.52,0.885,1.19,False,0.0
0.0,K,Fe,F,1,2,-1,1.52,0.92,1.19,False,0.0
0.0,K,Mg,F,1,2,-1,1.52,0.86,1.19,False,0.0
1.0,K,Mg,F,1,2,-1,1.52,0.86,1.19,False,0.0
0.0,K,Mn,F,1,2,-1,1.52,0.97,1.19,False,0.0
1.0,K,Mn,F,1,2,-1,1.52,0.97,1.19,False,0.0
2.0,K,Mn,F,1,2,-1,1.52,0.97,1.19,False,0.0
0.0,K,Nb,O,1,5,-2,1.52,0.78,1.26,False,0.0
0.0,K,Ni,F,1,2,-1,1.52,1.35,1.19,False,0.0
1.0,K,Ni,F,1,2,-1,1.52,1.35,1.19,False,0.0
2.0,K,Ni,F,1,2,-1,1.52,1.35,1.19,False,0.0
0.0,K,Pd,F,1,2,-1,1.52,1.0,1.19,False,0.0
0.0,K,Ta,O,1,5,-2,1.52,0.78,1.26,False,0.0
0.0,K,U,O,1,5,-2,1.52,0.9,1.26,False,0.0
1.0,K,U,O,1,6,-2,1.52,0.87,1.26,False,0.0
0.0,K,V,F,1,2,-1,1.52,0.93,1.19,False,0.0
0.0,K,Zn,F,1,2,-1,1.52,0.88,1.19,False,0.0
1.0,K,Zn,F,1,2,-1,1.52,0.88,1.19,False,0.0
2.0,K,Zn,F,1,2,-1,1.52,0.88,1.19,False,0.0
0.0,La,Al,O,3,3,-2,1.172,0.675,1.26,False,0.0
0.0,La,Co,O,3,3,-2,1.172,0.75,1.26,False,0.0
3.0,La,Co,O,3,2,-2,1.172,0.885,1.26,False,0.09074489176470557
0.0,La,Cr,O,3,3,-2,1.172,1.4,1.26,False,0.0
0.0,La,Fe,O,3,3,-2,1.172,0.785,1.26,False,0.0
0.0,La,Ga,O,3,3,-2,1.172,0.76,1.26,False,0.0
0.0,La,Ga,O,0,0,0,1.95,1.3,0.6,False,0.0
0.0,La,Mn,O,3,3,-2,1.172,0.785,1.26,False,0.0
0.0,La,Ti,O,3,3,-2,1.172,0.81,1.26,False,0.0
0.0,La,V,O,3,3,-2,1.172,0.78,1.26,False,0.0
0.0,Mn,N,Cl,4,-1,-1,0.67,0.65,1.67,False,0.0
1.0,Mn,N,Cl,2,1,-1,0.97,0.65,1.67,True,1.3436882857142844
0.0,Mn,N,F,2,1,-1,0.97,0.65,1.19,False,0.0
0.0,Tl,Mn,Cl,1,2,-1,1.64,0.97,1.67,False,0.0
0.0,Na,Mg,F,1,2,-1,1.16,0.86,1.19,False,0.0
0.0,Na,Nb,O,1,5,-2,1.16,0.78,1.26,False,0.0
0.0,Na,Ta,O,1,5,-2,1.16,0.78,1.26,False,0.0
0.0,Na,V,F,1,2,-1,1.16,0.93,1.19,False,0.0
0.0,Na,W,O,1,5,-2,1.16,0.76,1.26,False,0.0
0.0,Ag,Nb,O,1,5,-2,1.29,0.78,1.26,False,0.0
0.0,Nd,Co,O,3,3,-2,1.123,0.75,1.26,False,0.0
1.0,Nd,Co,O,3,2,-2,1.123,0.885,1.26,True,0.13076057928570783
0.0,Nd,Cr,O,3,3,-2,1.123,1.4,1.26,False,0.0
0.0,Nd,Ga,O,0,0,0,1.85,1.3,0.6,False,0.0
0.0,Nd,V,O,3,3,-2,1.123,0.78,1.26,False,0.0
0.0,Ni,N,F,2,1,-1,1.35,0.65,1.19,False,0.0
1.0,Ni,N,F,2,1,-1,1.35,0.65,1.19,True,1.6153764342857135
0.0,Pr,Co,O,3,3,-2,1.13,0.75,1.26,False,0.0
1.0,Pr,Co,O,3,2,-2,1.13,0.885,1.26,True,0.10703406089285394
0.0,Pr,Cr,O,3,3,-2,1.13,1.4,1.26,False,0.0
0.0,Pr,Ga,O,0,0,0,1.85,1.3,0.6,False,0.0
0.0,Pr,V,O,3,3,-2,1.13,0.78,1.26,False,0.0
0.0,Rb,Ca,F,1,2,-1,1.66,1.14,1.19,False,0.0
0.0,Rb,Cd,F,1,2,-1,1.66,1.09,1.19,False,0.0
0.0,Rb,Fe,F,1,2,-1,1.66,0.92,1.19,False,0.0
1.0,Rb,Fe,F,1,2,-1,1.66,0.92,1.19,True,0.0
0.0,Rb,Ge,I,1,2,-1,1.66,0.87,2.06,False,0.0
0.0,Rb,Hg,F,1,2,-1,1.66,1.16,1.19,False,0.0
1.0,Rb,Hg,F,1,2,-1,1.66,1.16,1.19,False,0.0
0.0,Rb,Mg,F,1,2,-1,1.66,0.86,1.19,False,0.0
1.0,Rb,Mg,F,1,2,-1,1.66,0.86,1.19,False,0.0
0.0,Rb,Mn,F,1,2,-1,1.66,0.97,1.19,False,0.0
1.0,Rb,Mn,F,1,2,-1,1.66,0.97,1.19,True,0.0
0.0,Rb,Pb,F,1,2,-1,1.66,1.33,1.19,False,0.0
0.0,Rb,Pd,F,1,2,-1,1.66,1.0,1.19,False,0.0
0.0,Rb,U,O,1,5,-2,1.66,0.9,1.26,False,0.0
1.0,Rb,U,O,1,6,-2,1.66,0.87,1.26,False,0.0
0.0,Rb,V,F,1,2,-1,1.66,0.93,1.19,False,0.0
0.0,Sm,Co,O,3,3,-2,1.0979999999999999,0.75,1.26,False,0.0
0.0,Sm,Cr,O,3,3,-2,1.0979999999999999,1.4,1.26,False,0.0
0.0,Sm,V,O,2,4,-2,1.36,0.72,1.26,False,0.0
0.0,Sn,C,Cl,2,1,-1,1.45,0.7,1.67,False,0.0
0.0,Sr,Cr,O,2,4,-2,1.32,1.4,1.26,False,0.0
1.0,Sr,Cr,O,2,4,-2,1.32,1.4,1.26,False,0.033936408749998925
3.0,Sr,Cr,O,2,4,-2,1.32,1.4,1.26,True,0.06295009650735839
0.0,Sr,Fe,O,2,4,-2,1.32,1.4,1.26,False,0.0
1.0,Sr,Fe,O,2,4,-2,1.32,1.4,1.26,False,0.0
2.0,Sr,Fe,O,2,4,-2,1.32,1.4,1.26,False,0.0
0.0,Sr,Ge,O,2,4,-2,1.32,0.67,1.26,False,0.0
0.0,Sr,Hf,O,2,4,-2,1.32,0.85,1.26,False,0.0
1.0,Sr,Hf,O,2,4,-2,1.32,0.85,1.26,True,0.018622709999998932
2.0,Sr,Hf,O,2,4,-2,1.32,0.85,1.26,True,0.021197374999999852
0.0,Sr,Mo,O,2,4,-2,1.32,0.79,1.26,False,0.0
1.0,Sr,Mo,O,2,4,-2,1.32,0.79,1.26,False,0.017990347857142375
2.0,Sr,Mo,O,2,4,-2,1.32,0.79,1.26,True,0.04025732916667035
0.0,Sr,Nb,O,2,4,-2,1.32,0.82,1.26,False,0.0
0.0,Sr,Ru,O,2,4,-2,1.32,0.76,1.26,False,0.0
1.0,Sr,Ru,O,2,4,-2,1.32,0.76,1.26,False,0.0
2.0,Sr,Ru,O,2,4,-2,1.32,0.76,1.26,False,0.00523286166666459
0.0,Sr,Si,O,2,4,-2,1.32,0.54,1.26,False,0.0
0.0,Sr,Sn,O,2,4,-2,1.32,0.83,1.26,False,0.0
1.0,Sr,Sn,O,2,4,-2,1.32,0.83,1.26,False,0.005311964285715121
0.0,Sr,Tc,O,0,0,0,2.0,1.35,0.6,False,0.0
1.0,Sr,Tc,O,0,0,0,2.0,1.35,0.6,False,0.037539396428570626
0.0,Sr,Ti,O,2,4,-2,1.32,0.745,1.26,False,0.0
1.0,Sr,Ti,O,2,4,-2,1.32,0.745,1.26,False,0.0
2.0,Sr,Ti,O,2,4,-2,1.32,0.745,1.26,False,0.0
3.0,Sr,Ti,O,2,4,-2,1.32,0.745,1.26,False,0.0
0.0,Sr,V,O,2,4,-2,1.32,0.72,1.26,False,0.0
1.0,Sr,V,O,2,4,-2,1.32,0.72,1.26,False,0.025702391999993246
2.0,Sr,V,O,2,4,-2,1.32,0.72,1.26,False,0.0
3.0,Sr,V,O,2,4,-2,1.32,0.72,1.26,False,0.04697741522706789
0.0,Sr,Zr,O,2,4,-2,1.32,0.86,1.26,False,0.0
1.0,Sr,Zr,O,2,4,-2,1.32,0.86,1.26,True,0.034574683928568106
2.0,Sr,Zr,O,2,4,-2,1.32,0.86,1.26,True,0.038820267916664264
0.0,Sr,Zr,O,0,0,0,2.0,1.55,0.6,False,0.0
1.0,Sr,Zr,O,2,4,-2,1.32,0.86,1.26,True,0.034574683928568106
2.0,Sr,Zr,O,2,4,-2,1.32,0.86,1.26,True,0.038820267916664264
0.0,Sn,Ta,O,2,4,-2,1.45,0.82,1.26,False,0.0
0.0,Cd,Ti,O,0,0,0,1.55,1.4,0.6,False,0.0
0.0,Pb,Ti,O,2,4,-2,1.33,0.745,1.26,False,0.0
0.0,Pb,V,O,2,4,-2,1.33,0.72,1.26,False,0.0
0.0,Ag,Zn,F,1,2,-1,1.29,0.88,1.19,False,0.0
0.0,Pb,Zr,O,2,4,-2,1.33,0.86,1.26,False,0.0
